day,timestamp,product,profit_and_loss
-2,14200,ASH_COATED_OSMIUM,141.0
-2,14300,INTARIAN_PEPPER_ROOT,613.0
-2,14300,ASH_COATED_OSMIUM,141.0
-2,14400,INTARIAN_PEPPER_ROOT,573.0
-2,14400,ASH_COATED_OSMIUM,141.0
-2,14500,INTARIAN_PEPPER_ROOT,733.0
-2,14500,ASH_COATED_OSMIUM,101.0
-2,14600,INTARIAN_PEPPER_ROOT,613.0
-2,14600,ASH_COATED_OSMIUM,136.0
-2,14700,INTARIAN_PEPPER_ROOT,173.0
-2,14700,ASH_COATED_OSMIUM,186.0
-2,14800,INTARIAN_PEPPER_ROOT,613.0
-2,14800,ASH_COATED_OSMIUM,146.0
-2,14900,INTARIAN_PEPPER_ROOT,733.0
-2,14900,ASH_COATED_OSMIUM,153.5
-2,15000,INTARIAN_PEPPER_ROOT,653.0
-2,15000,ASH_COATED_OSMIUM,146.0
-2,15100,INTARIAN_PEPPER_ROOT,693.0
-2,15100,ASH_COATED_OSMIUM,167.0
-2,15200,INTARIAN_PEPPER_ROOT,693.0
-2,15200,ASH_COATED_OSMIUM,215.0
-2,15300,INTARIAN_PEPPER_ROOT,253.0
-2,15300,ASH_COATED_OSMIUM,234.5
-2,15400,INTARIAN_PEPPER_ROOT,693.0
-2,15400,ASH_COATED_OSMIUM,215.0
-2,15500,INTARIAN_PEPPER_ROOT,693.0
-2,15500,ASH_COATED_OSMIUM,215.0
-2,15600,INTARIAN_PEPPER_ROOT,693.0
-2,15600,ASH_COATED_OSMIUM,228.0
-2,15700,INTARIAN_PEPPER_ROOT,693.0
-2,15700,ASH_COATED_OSMIUM,228.0
-2,15800,INTARIAN_PEPPER_ROOT,693.0
-2,15800,ASH_COATED_OSMIUM,228.0
-2,15900,INTARIAN_PEPPER_ROOT,693.0
-2,15900,ASH_COATED_OSMIUM,247.5
-2,16000,INTARIAN_PEPPER_ROOT,653.0
-2,16000,ASH_COATED_OSMIUM,256.0
-2,16100,INTARIAN_PEPPER_ROOT,773.0
-2,16100,ASH_COATED_OSMIUM,264.0
-2,16200,INTARIAN_PEPPER_ROOT,653.0
-2,16200,ASH_COATED_OSMIUM,264.0
-2,16300,INTARIAN_PEPPER_ROOT,773.0
-2,16300,ASH_COATED_OSMIUM,264.0
-2,16400,INTARIAN_PEPPER_ROOT,653.0
-2,16400,ASH_COATED_OSMIUM,268.0
-2,16500,INTARIAN_PEPPER_ROOT,773.0
-2,16500,ASH_COATED_OSMIUM,264.0
-2,16600,INTARIAN_PEPPER_ROOT,773.0
-2,16600,ASH_COATED_OSMIUM,262.0
-2,16700,INTARIAN_PEPPER_ROOT,1213.0
-2,16700,ASH_COATED_OSMIUM,260.0
-2,16800,INTARIAN_PEPPER_ROOT,773.0
-2,16800,ASH_COATED_OSMIUM,260.0
-2,16900,INTARIAN_PEPPER_ROOT,773.0
-2,16900,ASH_COATED_OSMIUM,266.0
-2,17000,INTARIAN_PEPPER_ROOT,813.0
-2,17000,ASH_COATED_OSMIUM,268.0
-2,17100,INTARIAN_PEPPER_ROOT,853.0
-2,17100,ASH_COATED_OSMIUM,264.0
-2,17200,INTARIAN_PEPPER_ROOT,853.0
-2,17200,ASH_COATED_OSMIUM,258.0
-2,17300,INTARIAN_PEPPER_ROOT,853.0
-2,17300,ASH_COATED_OSMIUM,258.0
-2,17400,INTARIAN_PEPPER_ROOT,853.0
-2,17400,ASH_COATED_OSMIUM,264.0
-2,17500,INTARIAN_PEPPER_ROOT,973.0
-2,17500,ASH_COATED_OSMIUM,264.0
-2,17600,INTARIAN_PEPPER_ROOT,853.0
-2,17600,ASH_COATED_OSMIUM,232.0
-2,17700,INTARIAN_PEPPER_ROOT,1293.0
-2,17700,ASH_COATED_OSMIUM,258.0
-2,17800,INTARIAN_PEPPER_ROOT,853.0
-2,17800,ASH_COATED_OSMIUM,264.0
-2,17900,INTARIAN_PEPPER_ROOT,853.0
-2,17900,ASH_COATED_OSMIUM,232.0
-2,18000,INTARIAN_PEPPER_ROOT,973.0
-2,18000,ASH_COATED_OSMIUM,264.0
-2,18100,INTARIAN_PEPPER_ROOT,933.0
-2,18100,ASH_COATED_OSMIUM,296.0
-2,18200,INTARIAN_PEPPER_ROOT,813.0
-2,18200,ASH_COATED_OSMIUM,260.0
-2,18300,INTARIAN_PEPPER_ROOT,933.0
-2,18300,ASH_COATED_OSMIUM,254.0
-2,18400,INTARIAN_PEPPER_ROOT,933.0
-2,18400,ASH_COATED_OSMIUM,254.0
-2,18500,INTARIAN_PEPPER_ROOT,933.0
-2,18500,ASH_COATED_OSMIUM,292.0
-2,18600,INTARIAN_PEPPER_ROOT,933.0
-2,18600,ASH_COATED_OSMIUM,292.0
-2,18700,INTARIAN_PEPPER_ROOT,933.0
-2,18700,ASH_COATED_OSMIUM,292.0
-2,18800,INTARIAN_PEPPER_ROOT,933.0
-2,18800,ASH_COATED_OSMIUM,284.0
-2,18900,INTARIAN_PEPPER_ROOT,853.0
-2,18900,ASH_COATED_OSMIUM,292.0
